year,month,day,hi,hs,T_1,T_2,T_3,T_4,T_5,T_6,T_7,T_8,T_9,T_10,T_11,T_12,T_13,T_14,T_15,T_16,T_17,T_18,T_19,T_20,S_1,S_2,S_3,S_4,S_5,S_6,S_7,S_8,S_9,S_10,S_11,S_12,S_13,S_14,S_15,S_16,S_17,S_18,S_19,S_20
1979,10,8,0.0253,0,-0.2981,-0.2969,-0.2959,-0.2951,-0.2944,-0.2939,-0.2934,-0.293,-0.2926,-0.2923,-0.292,-0.2918,-0.2916,-0.2914,-0.2912,-0.291,-0.2908,-0.2907,-0.2905,-0.2903,3.8731,3.8731,3.8732,3.8732,3.8732,3.8732,3.8733,3.8733,3.8733,3.8733,3.8733,3.8733,3.8733,3.8733,3.8733,3.8733,3.8733,3.8732,3.8732,3.8733
1979,10,9,5.3181,0,-2.7302,-2.6619,-2.6043,-2.5544,-2.5111,-2.4733,-2.4403,-2.4112,-2.3853,-2.362,-2.3406,-2.3205,-2.3006,-2.2796,-2.2556,-2.2258,-2.1885,-2.1449,-2.0954,-2.0493,30.0936,30.1028,30.1303,30.1524,30.1697,30.1828,30.1918,30.1968,30.1975,30.193,30.1817,30.1603,30.1238,30.0677,29.9983,29.9575,30.0513,30.449,31.2925,32.197
1979,10,10,8.1022,0,-3.1639,-3.0304,-2.9132,-2.8072,-2.7114,-2.6248,-2.5465,-2.4754,-2.4106,-2.351,-2.2954,-2.2427,-2.1915,-2.1407,-2.0896,-2.0397,-1.9941,-1.9539,-1.92,-1.8988,27.5343,27.5389,27.6211,27.6928,27.7517,27.7977,27.8303,27.8486,27.8504,27.8324,27.7896,27.7177,27.6201,27.525,27.5085,27.7093,28.2947,29.3298,30.7104,32.0861
1979,10,11,8.6967,0,-3.9002,-3.6658,-3.4581,-3.2675,-3.0936,-2.9357,-2.7927,-2.6635,-2.5467,-2.4411,-2.3454,-2.2584,-2.1794,-2.108,-2.045,-1.991,-1.9448,-1.9044,-1.88,-1.875,24.1311,24.1039,24.2428,24.3744,24.4916,24.5923,24.6748,24.7368,24.7761,24.792,24.7894,24.7878,24.8325,25.0032,25.4076,26.1464,27.2433,28.6202,30.2752,31.8391
1979,10,12,11.3705,0,-5.7537,-5.3311,-4.9269,-4.5371,-4.1676,-3.8235,-3.5089,-3.2257,-2.9741,-2.7524,-2.5584,-2.3906,-2.248,-2.1304,-2.0372,-1.9653,-1.907,-1.8653,-1.8517,-1.8595,18.7178,18.5508,18.7163,18.9013,19.104,19.3159,19.5299,19.744,19.9691,20.2389,20.617,21.1918,22.0541,23.2602,24.796,26.545,28.2603,29.8402,31.3582,32.5153
1979,10,13,14.1531,0,-7.4966,-7.1102,-6.7106,-6.2991,-5.8721,-5.4271,-4.9624,-4.4762,-3.9742,-3.4906,-3.0626,-2.7107,-2.4367,-2.2316,-2.083,-1.9778,-1.9008,-1.8455,-1.8301,-1.8438,15.1132,14.7709,14.597,14.45,14.3376,14.2717,14.2752,14.3902,14.7068,15.3964,16.5662,18.207,20.2111,22.4154,24.6456,26.7378,28.5039,29.9014,31.2966,32.4738
1979,10,14,16.7564,0,-9.765,-9.255,-8.7474,-8.2429,-7.7398,-7.2333,-6.7272,-6.2086,-5.6259,-4.9107,-4.0722,-3.3323,-2.8154,-2.4581,-2.2131,-2.0491,-1.9406,-1.8555,-1.824,-1.8347,13.5452,13.217,12.996,12.7922,12.6129,12.4765,12.4149,12.4746,12.7085,13.1953,14.0751,15.7974,18.1949,20.7305,23.197,25.5304,27.6348,29.1882,30.7872,32.205
1979,10,15,19.9143,0,-13.2264,-12.536,-11.8512,-11.1725,-10.499,-9.8286,-9.1503,-8.4573,-7.7385,-6.9562,-6.0398,-4.855,-3.67,-2.9128,-2.4504,-2.1619,-1.9846,-1.8748,-1.8195,-1.8254,12.2597,11.936,11.6892,11.4715,11.3058,11.2304,11.2918,11.5277,11.9348,12.4638,13.0828,13.8435,15.2971,17.9397,20.7976,23.5506,26.1146,28.3127,30.1919,31.8898
1979,10,16,23.1555,0,-13.1,-12.4615,-11.8257,-11.192,-10.5596,-9.9274,-9.2943,-8.6593,-8.0116,-7.3476,-6.6531,-5.833,-4.7295,-3.5296,-2.7818,-2.3345,-2.0708,-1.9224,-1.8296,-1.8221,11.3694,11.0413,10.7778,10.5649,10.4417,10.4534,10.6269,10.9506,11.3825,11.8795,12.4177,12.9894,13.6852,15.1616,18.2381,21.5135,24.6514,27.5049,29.6124,31.6094
1979,10,17,25.9648,0,-13.5861,-12.9186,-12.2539,-11.5914,-10.9304,-10.2698,-9.609,-8.9477,-8.2828,-7.5934,-6.904,-6.1747,-5.3028,-4.1428,-3.1292,-2.5183,-2.159,-1.9577,-1.8419,-1.8185,10.7537,10.4237,10.1581,9.9642,9.8857,9.9541,10.1673,10.4908,10.8806,11.3079,11.7814,12.3459,13.0019,13.8158,16.2831,19.7811,23.2688,26.4991,29.054,31.3124
